Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
"Aishiteru Banzai!, START:DASH!!","Donna Toki mo Zutto, Snow halation","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete",Takaramonozu,PSYCHIC FIRE,,,,Niko puri?Joshi dou,,Snow halation,Snow halation,Hanayo Koizumi (VA Yurika Kubo),Omoi yo Hitotsu ni Nare,MY Mai?TONIGHT,,Daydream Warrior,Strawberry Trapper,,,,,,Omoi yo Hitotsu ni Nare,Omoi yo Hitotsu ni Nare,Yoshiko Tsushima (Va Kobayashi Aika),,
"Korekara no Someday, Susume?Tomorrow","KiRa-KiRa Sensation!, Snow halation","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shunjou Romantic","Nightingale Love Song, NO EXIT ORION","Garasu no Hanazono, Mermaid festa vol.2 ~Passionate~, Storm in Lover","Kodoku na Heaven, Kururin MIRACLE, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Kaguya no Shiro de Odoritai,"Bokutachi wa Hitotsu no Hikari, Dancing stars on me!, Hello, Hoshi o Kazoete, KiRa-KiRa Sensation!, Shocking Party, Snow halation",Rin Hoshizora (VA Riho Iida),"Aozora Jumping Heart, Omoi yo Hitotsu ni Nare","WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!","Brightest Melody, Kiseki Hikaru","Daydream Warrior, HAPPY PARTY TRAIN, Jump up HIGH!!, Thank you, FRIENDS!!, Thrilling?One Way","Guilty Eyes Fever, Guilty!? Farewell party","GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, Sakura Bye Bye","Hajimari Road, Yosoku Fukanou Driving!","In this unstable world, Oyasuminasan!",Believe again,Daydream Warrior,"HAPPY PARTY TRAIN, MIRACLE WAVE, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, Yume Kataru yori Yume Utaou",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Meccha Going!!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, Kitto Seishun ga Kikoeru","Love wing bell, Sore wa Bokutachi no Kiseki","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","ENDLESS PARADE, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, Ruteshi Kisuki Shiteru, Takaramonozu","PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Nightingale Love Song, Puwa Puwa-O!, UNBALANCED LOVE","After school NAVIGATORS, Listen to my heart!!, Mermaid festa vol.2 ~Passionate~","Koi no Signal Rin rin rin!, Kururin MIRACLE, Mahoutsukai Hajimemashita!, Nawatobi, Niko puri?Joshi dou, Spicaterrible",Private Wars,Nawatobi,"Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Love wing bell, Snow halation, SUNNY DAY SONG, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"Aozora Jumping Heart, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Brightest Melody, Hop? Stop? Nonstop!","HAPPY PARTY TRAIN, Humming Friend, Jingle Bells ga Tomaranai, Pops heart de Odorun damon!, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Hajimari Road, Natsu e no Tobira Never end ver.","Oyasuminasan!, WHITE FIRST LOVE",CRASH MIND,WHITE FIRST LOVE,"Aozora Jumping Heart, HAPPY PARTY TRAIN, Kimeta yo Hand in Hand, Mijuku DREAMER, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare",Dia Kurosawa (VA Komiya Arisa),"Doki Pipo ? Emotion, Evergreen, TOKIMEKI Runners",Rina Tennoji (VA Chiemi Tanaka)
"Bokura no LIVE Kimi to no LIFE, START:DASH!!","KiRa-KiRa Sensation!, Snow halation","Angelic Angel, Hello, Hoshi o Kazoete","COLORFUL VOICE, Wonderful Rush","PSYCHIC FIRE, Trouble Busters","Binetsu Kara Mystery, Shunjou Romantic","NO EXIT ORION, Puwa Puwa-O!","Otome Shiki Ren'ai Juku, Soldier game","Koi no Signal Rin rin rin!, Kururin MIRACLE",Private Wars,"Hello, Hoshi o Kazoete","Angelic Angel, Hello, Hoshi o Kazoete, KiRa-KiRa Sensation!, Snow halation, SUNNY DAY SONG, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"MIRAI TICKET, Yume Kataru yori Yume Utaou","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Next SPARKLING!!","Daydream Warrior, HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, Thrilling?One Way","Guilty Night, Guilty Kiss!, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Natsu e no Tobira Never end ver., Yosoku Fukanou Driving!","Beginner's Sailing, Oyasuminasan!",CRASH MIND,Thrilling?One Way,"HAPPY PARTY TRAIN, Mijuku DREAMER, MIRAI TICKET, MY Mai?TONIGHT, WATER BLUE NEW WORLD, Yume Kataru yori Yume Utaou",Riko Sakurauchi (VA Aida Rikako),"Anata no Risou no Heroine, CHASE!, Doki Pipo ? Emotion",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, START:DASH!!","Happy maker!, Snow halation","Angelic Angel, Hello, Hoshi o Kazoete","LONELIEST BABY, SENTIMENTAL StepS",,,,"Listen to my heart!!, Otome Shiki Ren'ai Juku, Zurui yo Magnetic today","Junai Lens, Koi no Signal Rin rin rin!, Kururin MIRACLE, Nawatobi, Niko puri?Joshi dou, Spicaterrible",Shocking Party,,"Angelic Angel, Future style, No brand girls, Shocking Party, SUNNY DAY SONG, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),,"WATER BLUE NEW WORLD, WONDERFUL STORIES","Bokura no Hashittekita Michi wa…, Over The Next Rainbow","HAPPY PARTY TRAIN, Landing action Yeah!!, No.10, Step! ZERO to ONE, Thrilling?One Way","Guilty Night, Guilty Kiss!, Kowareyasuki","Sotsugyou desu ne, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Jimo Ai ? Mantan ? Summer Life","Beginner's Sailing, Oyasuminasan!",CRASH MIND,Thrilling?One Way,"HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, MIRACLE WAVE, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Riko Sakurauchi (VA Aida Rikako),"Anata no Risou no Heroine, CHASE!, Yume e no Ippo",Shizuku Osaka (VA Kaori Maeda)
"Aishiteru Banzai!, Susume?Tomorrow","Dancing stars on me!, Snow halation","Bokutachi wa Hitotsu no Hikari, Future style",Mermaid festa vol.1,"PSYCHIC FIRE, Trouble Busters",A-NO-NE-GA-N-BA-RE!,UNBALANCED LOVE,"After school NAVIGATORS, Garasu no Hanazono","Koi no Signal Rin rin rin!, Niko puri?Joshi dou",Shocking Party,After school NAVIGATORS,"Hello, Hoshi o Kazoete",Rin Hoshizora (VA Riho Iida),"Daisuki dattara Daijoubu!, Omoi yo Hitotsu ni Nare",MY Mai?TONIGHT,Kiseki Hikaru,"Sunshine Pikkapika Ondo, Thrilling?One Way","Kowareyasuki, Strawberry Trapper",Torikoriko PLEASE!!,Yozora wa Nandemo Shitteru no?,G Senjou no Cinderella,"In this unstable world, New winding road",Believe again,Strawberry Trapper,MY Mai?TONIGHT,Mari Ohara (VA Suzuki Aina),CHASE!,Karin Asaka (VA Miyu Kubota)
"Aishiteru Banzai!, START:DASH!!","Donna Toki mo Zutto, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Kaguya no Shiro de Odoritai, Music S.T.A.R.T!!, Mogyutto ""love"" de Sekkin Chuu!, Shangri-La Shower, Super LOVE=Super LIVE!, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Trouble Busters","Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden, Shunjou Romantic","Love marginal, NO EXIT ORION, Sweet&sweet holiday","After school NAVIGATORS, Beat in Angel, Suki desu ga Suki desu ka?","Ai wa Taiyou Ja Nai?, Arifureta Kanashimi no Hate, Blueberry?Train, Daring!!, Kodoku na Heaven, Spicaterrible",Private Wars,Shangri-La Shower,"Angelic Angel, Mogyutto ""love"" de Sekkin Chuu!, Music S.T.A.R.T!!, Snow halation, SUNNY DAY SONG, Wonderful Rush",Maki Nishikino (VA Pile),"Kimeta yo Hand in Hand, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, Yuuki wa doko ni? Kimi no Mune ni!","Brightest Melody, Hop? Stop? Nonstop!","Daydream Warrior, HAPPY PARTY TRAIN, Mattete Ai no Uta, Seinaru Hi no Inori, Sunshine Pikkapika Ondo","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Natsu e no Tobira Never end ver., Waku-Waku-Week!","In this unstable world, Pianoforte Monologue",DROPOUT!?,Daydream Warrior,HAPPY PARTY TRAIN,Yoshiko Tsushima (Va Kobayashi Aika),"Diamond, Meccha Going!!, TOKIMEKI Runners",Ai Miyashita (VA Natsumi Murakami)
"Bokura no LIVE Kimi to no LIFE, START:DASH!!","Dancing stars on me!, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","LOVELESS WORLD, Shangri-La Shower, WILD STARS, Wonderful Rush","Diamond Princess no Yuuutsu, PSYCHIC FIRE, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Kimi no Kuse ni!, Omoide Ijou ni Naritakute",Sweet&sweet holiday,"Beat in Angel, Soldier game, Storm in Lover","Blueberry?Train, Junai Lens, Kodoku na Heaven, Koi no Signal Rin rin rin!, Someday of my life",Private Wars,Kodoku na Heaven,"Bokura wa Ima no Naka de, Snow halation, START:DASH!!, Wonderful Rush",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, WATER BLUE NEW WORLD",Next SPARKLING!!,"Daydream Warrior, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo, Taiyou o Oikakero!, Thrilling?One Way","Guilty Eyes Fever, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Waku-Waku-Week!","In this unstable world, RED GEM WINK",SELF CONTROL!!,Mijuku DREAMER,"Mijuku DREAMER, MY Mai?TONIGHT, SELF CONTROL!!",Hanamaru Kunikida (Va Takatsuki Kanako),"Diamond, Evergreen, Nemureru Mori ni Ikitai na",Kanata Konoe (VA Akari Kito)
"Kitto Seishun ga Kikoeru, Wonder zone","Dancing stars on me!, Snow halation","Hello, Hoshi o Kazoete, ??HEARTBEAT","Kaguya no Shiro de Odoritai, LONELIEST BABY, LOVELESS WORLD, Mogyutto ""love"" de Sekkin Chuu!, Ruteshi Kisuki Shiteru, WILD STARS","Love Novels, Sakkaku CROSSROADS, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden, Shunjou Romantic","MUSEUM de Dou Shitai?, NO EXIT ORION, UNBALANCED LOVE","Garasu no Hanazono, Otome Shiki Ren'ai Juku, Storm in Lover","Junai Lens, Kodoku na Heaven, Koi no Signal Rin rin rin!, Mahoutsukai Hajimemashita!, Niko puri?Joshi dou, Spicaterrible",Shocking Party,??HEARTBEAT,"Love wing bell, Mogyutto ""love"" de Sekkin Chuu!, Natsuiro Egao de 1,2,Jump!, Snow halation, Wonder zone, ??HEARTBEAT",Nozomi Toujou (VA Aina Kusuda),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","Sora mo Kokoro mo Hareru kara, Yuuki wa doko ni? Kimi no Mune ni!","Hop? Stop? Nonstop!, Kiseki Hikaru","Koi ni Naritai AQUARIUM, Pops heart de Odorun damon!, Shoujo Ijou no Koi ga Shitai, SKY JOURNEY, Sunshine Pikkapika Ondo","Guilty Night, Guilty Kiss!, Shadow gate to love","Sotsugyou desu ne, Torikoriko PLEASE!!","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Manatsu wa Dare no Mono?, Natsu no Owari no Amaoto ga","One More Sunshine Story, Sakana ka Nanda ka?",SELF CONTROL!!,SKY JOURNEY,HAPPY PARTY TRAIN,Mari Ohara (VA Suzuki Aina),"Diamond, Doki Pipo ? Emotion, Starlight",Ayumu Uehara (VA Aguri Onishi)
"Aishiteru Banzai!, Wonder zone","Oh,Love&Peace!, Snow halation","Hello, Hoshi o Kazoete, ??HEARTBEAT","Arashi no Naka no Koi dakara, Baby maybe Koi no Button, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Shangri-La Shower, Wonderful Rush","Love Novels, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love, Shunjou Romantic","NO EXIT ORION, Pure girls project, UNBALANCED LOVE","Beat in Angel, Listen to my heart!!, Soldier game","Daring!!, Kodoku na Heaven, Watashitachi wa Mirai no Hana",Shocking Party,A-NO-NE-GA-N-BA-RE!,"Hello, Hoshi o Kazoete, Love wing bell, No brand girls, Snow halation, Susume?Tomorrow, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"Daisuki dattara Daijoubu!, Kimeta yo Hand in Hand","Awaken the power, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Daydream Warrior, Humming Friend, Kimi no Hitomi o Meguru Bouken, Pops heart de Odorun damon!, SKY JOURNEY","Guilty Night, Guilty Kiss!, Shadow gate to love","Tokimeki Bunruigaku, Torikoriko PLEASE!!","Kaigandoori de Matteru yo, Kinmirai Happy End","Hajimari Road, Waku-Waku-Week!","RED GEM WINK, Sakana ka Nanda ka?",SELF CONTROL!!,Waku-Waku-Week!,"Awaken the power, Daisuki dattara Daijoubu!, Hop? Stop? Nonstop!, Kimeta yo Hand in Hand, Tousou Meisou Mobius Loop, WATER BLUE NEW WORLD",Ruby Kurosawa (VA Furihata Ai),"CHASE!, Doki Pipo ? Emotion, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
Kitto Seishun ga Kikoeru,"Donna Toki mo Zutto, Snow halation","Future style, ??HEARTBEAT","LONELIEST BABY, LOVELESS WORLD, Mermaid festa vol.1, MOMENT RING","PSYCHIC FIRE, Saitei de Saikou no Paradiso, Sakkaku CROSSROADS","Omoide Ijou ni Naritakute, Otohime Heart de Love Kyuuden, Shunjou Romantic","MUSEUM de Dou Shitai?, Pure girls project, WAO-WAO Powerful day!","Garasu no Hanazono, Kokuhaku Biyori, desu!, Mermaid festa vol.2 ~Passionate~","Hane wa Shitte Shimatta no?, Kaku mo Yuubi na Hi to Narite, Niko puri?Joshi dou, Yume Naki Yume wa Yume ja nai, Yume?ONCE AGAIN",Private Wars,,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Future style, Snow halation, ??HEARTBEAT",Umi Sonoda (VA Suzuko Mimori),"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou",Yuuki wa doko ni? Kimi no Mune ni!,"Bokura no Hashittekita Michi wa…, Brightest Melody",Koi ni Naritai AQUARIUM,Shadow gate to love,"GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, Sakura Bye Bye","Hajimari Road, Manatsu wa Dare no Mono?","Beginner's Sailing, Sakana ka Nanda ka?",DROPOUT!?,Sakura Bye Bye,Koi ni Naritai AQUARIUM,Yoshiko Tsushima (Va Kobayashi Aika),Doki Pipo ? Emotion,Karin Asaka (VA Miyu Kubota)
"No brand girls, Susume?Tomorrow","Dancing stars on me!, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, WILD STARS, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Omoide Ijou ni Naritakute, Shunjou Romantic","Love marginal, NO EXIT ORION, UNBALANCED LOVE","After school NAVIGATORS, Suki desu ga Suki desu ka?, Zurui yo Magnetic today","Arifureta Kanashimi no Hate, Daring!!, Kodoku na Heaven, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Cutie Panther,,Eli Ayase (VA Yoshino Nanjo),"Mijuku DREAMER, Yume Kataru yori Yume Utaou",Kimi no Kokoro wa Kagayaiteru kai?,Tousou Meisou Mobius Loop,"Daydream Warrior, Humming Friend, Koi ni Naritai AQUARIUM, Todokanai Hoshi da to Shitemo","Guilty Eyes Fever, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!",,G Senjou no Cinderella,"In this unstable world, Oyasuminasan!",Believe again,Koi ni Naritai AQUARIUM,"Believe again, Koi ni Naritai AQUARIUM",Yoshiko Tsushima (Va Kobayashi Aika),,
"Kitto Seishun ga Kikoeru, Wonder zone","Oh,Love&Peace!, Snow halation",??HEARTBEAT,"Kaguya no Shiro de Odoritai, MOMENT RING, Natsuiro Egao de 1,2,Jump!, Sayounara e Sayonara!, WILD STARS, Yuujou No Change","Cutie Panther, Love Novels, PSYCHIC FIRE","Binetsu Kara Mystery, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love","Love marginal, NO EXIT ORION, WAO-WAO Powerful day!","Beat in Angel, Listen to my heart!!, Soldier game","Kodoku no Kairou, Koi no Signal Rin rin rin!, Nawatobi, Niko puri?Joshi dou, Someday of my life, Spicaterrible",Private Wars,Kaguya no Shiro de Odoritai,"Angelic Angel, Love wing bell, Snow halation, Wonder zone, Yume no Tobira, ??HEARTBEAT",Maki Nishikino (VA Pile),"MIRAI TICKET, Omoi yo Hitotsu ni Nare","Awaken the power, WATER BLUE NEW WORLD","Brightest Melody, Hop? Stop? Nonstop!","Daydream Warrior, Jump up HIGH!!, Koi ni Naritai AQUARIUM, Step! ZERO to ONE, Todokanai Hoshi da to Shitemo","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Hajimari Road, Jimo Ai ? Mantan ? Summer Life","Beginner's Sailing, In this unstable world",DROPOUT!?,Daydream Warrior,"Awaken the power, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, MIRACLE WAVE, MIRAI TICKET, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Evergreen, TOKIMEKI Runners",Ayumu Uehara (VA Aguri Onishi)
"No brand girls, Wonder zone","Snow halation, Yume no Tobira","SUNNY DAY SONG, ??HEARTBEAT","COLORFUL VOICE, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Natsuiro Egao de 1,2,Jump!, Ruteshi Kisuki Shiteru, Sayounara e Sayonara!","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shunjou Romantic","CheerDay CheerGirl!, Puwa Puwa-O!, Sweet&sweet holiday","After school NAVIGATORS, Garasu no Hanazono, Suki desu ga Suki desu ka?","Junai Lens, Koi no Signal Rin rin rin!, Kururin MIRACLE, Mahoutsukai Hajimemashita!, Niko puri?Joshi dou, Spicaterrible",Shocking Party,Cutie Panther,"Bokutachi wa Hitotsu no Hikari, Dancing stars on me!, Hello, Hoshi o Kazoete, Snow halation, SUNNY DAY SONG, ??HEARTBEAT",Nico Yazawa (VA Tokui Sora),MIRAI TICKET,"MIRACLE WAVE, MY Mai?TONIGHT","Brightest Melody, Hop? Stop? Nonstop!","""MY LIST"" to you!, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!","Guilty Night, Guilty Kiss!, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Kaigandoori de Matteru yo, Kinmirai Happy End","Manatsu wa Dare no Mono?, Natsu e no Tobira Never end ver.","Oyasuminasan!, RED GEM WINK",Believe again,Hop? Stop? Nonstop!,"Awaken the power, HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, MIRACLE WAVE, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),,Kasumi Nakasu (VA Mayu Sagara)
"Aishiteru Banzai!, Bokura wa Ima no Naka de","KiRa-KiRa Sensation!, Snow halation","SUNNY DAY SONG, ??HEARTBEAT","Paradise Live, Takaramonozu","Cutie Panther, PSYCHIC FIRE, Sakkaku CROSSROADS","Aki no Anata no Sora Tooku, Otohime Heart de Love Kyuuden, Shunjou Romantic","CheerDay CheerGirl!, Pure girls project, UNBALANCED LOVE","Beat in Angel, Kakumei desu ne? Kamisama!, Mermaid festa vol.2 ~Passionate~","Daring!!, Kodoku na Heaven, Kururin MIRACLE, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana, Yume?ONCE AGAIN",Private Wars,Snow halation,"Bokura wa Ima no Naka de, KiRa-KiRa Sensation!, Snow halation, SUNNY DAY SONG, Susume?Tomorrow, ??HEARTBEAT",Nico Yazawa (VA Tokui Sora),"Daisuki dattara Daijoubu!, MIRAI TICKET","MIRACLE WAVE, WONDERFUL STORIES","Hop? Stop? Nonstop!, Next SPARKLING!!","HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, Mattete Ai no Uta, Step! ZERO to ONE, Todokanai Hoshi da to Shitemo","Guilty Night, Guilty Kiss!, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Natsu no Owari no Amaoto ga, Waku-Waku-Week!","Beginner's Sailing, Oyasuminasan!",DROPOUT!?,Mattete Ai no Uta,"Bokura no Hashittekita Michi wa…, HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, MIRACLE WAVE, MIRAI TICKET, WATER BLUE NEW WORLD",You Watanabe (VA Saitou Shuka),"CHASE!, Meccha Going!!, Nemureru Mori ni Ikitai na",Kanata Konoe (VA Akari Kito)
"Bokura wa Ima no Naka de, Korekara no Someday","Happy maker!, Yume no Tobira","Angelic Angel, Future style","Korekara, Ruteshi Kisuki Shiteru, Shangri-La Shower, Soshite Saigo no Page ni wa","Diamond Princess no Yuuutsu, PSYCHIC FIRE, Saitei de Saikou no Paradiso","A-NO-NE-GA-N-BA-RE!, Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden",Eien Friends,"Beat in Angel, Kokuhaku Biyori, desu!, Suki desu ga Suki desu ka?","Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",,Onaji Hoshi ga Mitai,"Angelic Angel, Happy maker!, Natsuiro Egao de 1,2,Jump!, Shocking Party",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","Awaken the power, WATER BLUE NEW WORLD","Bokura no Hashittekita Michi wa…, Next SPARKLING!!","Hop?Step?Waai!, SKY JOURNEY, Thrilling?One Way",Strawberry Trapper,"Sotsugyou desu ne, Tokimeki Bunruigaku","Kinmirai Happy End, Sakura Bye Bye","Hajimari Road, Yosoku Fukanou Driving!","In this unstable world, New winding road",Believe again,Next SPARKLING!!,"Believe again, Hop? Stop? Nonstop!, Mijuku DREAMER, Next SPARKLING!!, SELF CONTROL!!, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),Starlight,Karin Asaka (VA Miyu Kubota)
"Bokura wa Ima no Naka de, No brand girls","Dancing stars on me!, Donna Toki mo Zutto","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Baby maybe Koi no Button, LONELIEST BABY, Natsuiro Egao de 1,2,Jump!, Ruteshi Kisuki Shiteru, Wonderful Rush, Yuujou No Change","Fuyu ga Kureta Yokan, Love Novels, Natsu, Owaranai de.","Shiranai Love*Oshiete Love, Shunjou Romantic","Love marginal, Nightingale Love Song, NO EXIT ORION","Beat in Angel, Mermaid festa vol.2 ~Passionate~, Storm in Lover","Ai wa Taiyou Ja Nai?, Arifureta Kanashimi no Hate, Kodoku na Heaven, Nawatobi, Someday of my life, Spicaterrible",Shocking Party,"Natsu, Owaranai de.","Angelic Angel, Bokutachi wa Hitotsu no Hikari, Dancing stars on me!, Mogyutto ""love"" de Sekkin Chuu!, Natsuiro Egao de 1,2,Jump!, Wonderful Rush",Umi Sonoda (VA Suzuko Mimori),"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou","WATER BLUE NEW WORLD, WONDERFUL STORIES",,"""MY LIST"" to you!, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!",Kowareyasuki,"Tokimeki Bunruigaku, Torikoriko PLEASE!!",Yozora wa Nandemo Shitteru no?,"G Senjou no Cinderella, Natsu no Owari no Amaoto ga",,SELF CONTROL!!,Omoi yo Hitotsu ni Nare,"Koi ni Naritai AQUARIUM, Omoi yo Hitotsu ni Nare, WONDERFUL STORIES",Hanamaru Kunikida (Va Takatsuki Kanako),"Meccha Going!!, Nemureru Mori ni Ikitai na, Yume e no Ippo",
